name,inserted_value,name_normalized,match_status,mapping_type,is_default_new_ward,old_ward,old_district,old_province,old_ward_code,old_district_code,old_province_code,old_full_address,new_ward,new_province,new_ward_code,new_province_code,new_full_address,match_note
Xã Quảng Đại,9111,Xã Quảng Đại,NOT_FOUND,,,,,,,,,,,,,,,Không có trong danh mục xã cũ (có thể đã sáp nhập trước 01/07/2025)
Xã Quảng Hùng,9112,Xã Quảng Hùng,MAPPED,merged,TRUE,Xã Quảng Hưng,Huyện Quảng Trạch,Tỉnh Quảng Bình,19042,454,44,"Xã Quảng Hưng, Huyện Quảng Trạch, Tỉnh Quảng Bình",Xã Quảng Trạch,Tỉnh Quảng Trị,19057,44,"Xã Quảng Trạch, Tỉnh Quảng Trị",
Xã Quảng Minh,9113,Xã Quảng Minh,MAPPED,merged,TRUE,Xã Quảng Minh,Thị xã Ba Đồn,Tỉnh Quảng Bình,19108,458,44,"Xã Quảng Minh, Thị xã Ba Đồn, Tỉnh Quảng Bình",Xã Nam Gianh,Tỉnh Quảng Trị,19093,44,"Xã Nam Gianh, Tỉnh Quảng Trị",
Phường Ba Đình,9114,Phường Ba Đình,MAPPED,merged,TRUE,Phường Ba Đình,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,14776,380,38,"Phường Ba Đình, Thành phố Thanh Hóa, Tỉnh Thanh Hóa",Phường Hạc Thành,Tỉnh Thanh Hóa,14797,38,"Phường Hạc Thành, Tỉnh Thanh Hóa",
Phường Bắc Sơn,9115,Phường Bắc Sơn,MAPPED,merged,TRUE,Phường Bắc Sơn,Thị xã Bỉm Sơn,Tỉnh Thanh Hóa,14809,381,38,"Phường Bắc Sơn, Thị xã Bỉm Sơn, Tỉnh Thanh Hóa",Phường Quang Trung,Tỉnh Thanh Hóa,14818,38,"Phường Quang Trung, Tỉnh Thanh Hóa",
Phường Đông Sơn,9116,Phường Đông Sơn,MAPPED,merged,TRUE,Phường Đông Sơn,Thị xã Bỉm Sơn,Tỉnh Thanh Hóa,14821,381,38,"Phường Đông Sơn, Thị xã Bỉm Sơn, Tỉnh Thanh Hóa",Phường Bỉm Sơn,Tỉnh Thanh Hóa,14812,38,"Phường Bỉm Sơn, Tỉnh Thanh Hóa",
Phường Lam Sơn,9117,Phường Lam Sơn,MAPPED,merged,TRUE,Phường Lam Sơn,Thị xã Bỉm Sơn,Tỉnh Thanh Hóa,14815,381,38,"Phường Lam Sơn, Thị xã Bỉm Sơn, Tỉnh Thanh Hóa",Phường Bỉm Sơn,Tỉnh Thanh Hóa,14812,38,"Phường Bỉm Sơn, Tỉnh Thanh Hóa",
Phường Ngọc Trạo,9118,Phường Ngọc Trạo,MAPPED,merged,TRUE,Phường Ngọc Trạo,Thị xã Bỉm Sơn,Tỉnh Thanh Hóa,14818,381,38,"Phường Ngọc Trạo, Thị xã Bỉm Sơn, Tỉnh Thanh Hóa",Phường Quang Trung,Tỉnh Thanh Hóa,14818,38,"Phường Quang Trung, Tỉnh Thanh Hóa",
Phường Phú Sơn,9119,Phường Phú Sơn,MAPPED,merged,TRUE,Phường Phú Sơn,Thị xã Bỉm Sơn,Tỉnh Thanh Hóa,14823,381,38,"Phường Phú Sơn, Thị xã Bỉm Sơn, Tỉnh Thanh Hóa",Phường Quang Trung,Tỉnh Thanh Hóa,14818,38,"Phường Quang Trung, Tỉnh Thanh Hóa",
Xã Quang Trung,9120,Xã Quang Trung,MAPPED,merged,TRUE,Xã Quang Trung,Thị xã Bỉm Sơn,Tỉnh Thanh Hóa,14824,381,38,"Xã Quang Trung, Thị xã Bỉm Sơn, Tỉnh Thanh Hóa",Phường Quang Trung,Tỉnh Thanh Hóa,14818,38,"Phường Quang Trung, Tỉnh Thanh Hóa",
